"ASSESSMENT_UNIT_ID","PARAM_NAME","ACTION_ID","ACTION_TYPE","OWRD_Basin"
"OR_EB_1710020302_01_100295","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_EB_1710020302_01_107215","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_EB_1710020302_01_107216","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_EB_1710020302_01_107216","ESCHERICHIA COLI (E. COLI)",2238,"TMDL","North Coast"
"OR_EB_1710020302_01_107216","TEMPERATURE",2238,"TMDL","North Coast"
"OR_EB_1710020308_01_107225","TEMPERATURE",1380,"TMDL","North Coast"
"OR_EB_1710020309_01_100296","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_SR_1708000305_05_103619","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1708000305_05_103619","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1708000308_05_103693","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1708000602_05_100322","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1708000602_05_100324","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1708000602_05_103678","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1710020101_05_105827","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1710020101_05_105829","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1710020101_05_105830","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1710020201_05_106441","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1710020201_05_106441","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020202_05_106442","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_SR_1710020202_05_106442","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020203_05_105834","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020204_05_105835","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020205_05_105847","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020206_05_105850","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020206_05_105864","TEMPERATURE",9447,"TMDL","North Coast"
"OR_SR_1710020302_05_105869","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105869","TEMPERATURE",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105874","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105874","TEMPERATURE",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105881","DISSOLVED OXYGEN",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105881","TEMPERATURE",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105882","TEMPERATURE",2238,"TMDL","North Coast"
"OR_SR_1710020302_05_105884","TEMPERATURE",2238,"TMDL","North Coast"
"OR_SR_1710020303_05_105886","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020303_05_105890","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020304_05_105893","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020304_05_105897","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020304_05_105898","TEMPERATURE",1380,"TMDL","North Coast"
"OR_SR_1710020304_05_105899","TEMPERATURE",1380,"TMDL","North Coast"
