ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_SR_1706010501_02_103342,FECAL COLIFORM,86,39294,Fecal Coliform,NA
OR_SR_1706010501_02_103344,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010501_02_103344,FECAL COLIFORM,86,39294,Fecal Coliform,Grande Ronde
OR_SR_1706010501_02_103346,FECAL COLIFORM,86,39294,Fecal Coliform,NA
OR_SR_1706010501_02_103347,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010502_02_103348,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010503_02_103351,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010503_02_103351,FECAL COLIFORM,86,39294,Fecal Coliform,Grande Ronde
OR_SR_1706010505_02_103361,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010506_02_103362,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010506_02_103362,FECAL COLIFORM,86,39294,Fecal Coliform,Grande Ronde
OR_WS_170601040101_02_103422,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040102_02_103423,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040103_02_103424,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601040104_02_103425,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601040105_02_103426,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040106_02_103427,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_WS_170601040106_02_103427,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601040107_02_103428,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040201_02_103431,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601040203_02_103433,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601040204_02_103434,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040205_02_103435,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040303_02_103439,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601040404_02_103447,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_WS_170601040404_02_103447,PH,124,489,pH,Grande Ronde
OR_WS_170601040502_02_103450,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601040504_02_103452,"SEDIMENT
",172,489,Sedimentation,NA
OR_WS_170601041001_02_103474,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601041002_02_103475,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601041004_02_103477,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_WS_170601050102_02_103484,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_WS_170601050102_02_103484,FECAL COLIFORM,86,39294,Fecal Coliform,Grande Ronde
OR_WS_170601050103_02_103485,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_WS_170601050104_02_103486,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_WS_170601050105_02_103487,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
