"","OrganizationID","MLocID","StationDes","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","wqstd_code","Pollu_ID","Char_Name","SampleMedia","SampleSubmedia","Sample_Fraction","Result_status","Statistical_Base","Time_Basis","SampleStartDate","SampleStartTime","Act_Depth_Top","act_depth_height","Result_Type","Result_UID","Result_Numeric","Result_Unit","IRResultNWQSunit","Result_Operator","IRWQSUnitName","lab_Comments","General_Comments","QualifierAbbr","QualifierTxt","DO_code","DO_Class","DO_SpawnCode","SpawnStart","SpawnEnd","crit_30D","crit_7Mi","crit_Min","in_spawn","critstart","critend","is.crit","DO_sat","Violation"
"376","OREGONDEQ","11478-ORDEQ","John Day River at Service Creek","River/Stream","Service Creek-John Day River",1640,"OR_SR_1707020402_05_101644",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2012-08-21,"15:35:00.0000000",NA,NA,"Actual",45282654,8.3,"mg/l",8.3,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",11,NA,NA,6.5,5,4,0,2012-07-01,2012-09-30,1,NA,0
"377","OREGONDEQ","11017-ORDEQ","North Fork John Day River at Kimberly","River/Stream","Birch Creek-North Fork John Day River",1829,"OR_SR_1707020210_05_101613",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2009-02-12,"09:28:00.0000000",NA,NA,"Actual",47226022,13.2,"mg/l",13.2,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,2009-07-01,2009-09-30,0,NA,0
"378","OREGONDEQ","11017-ORDEQ","North Fork John Day River at Kimberly","River/Stream","Birch Creek-North Fork John Day River",1829,"OR_SR_1707020210_05_101613",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2018-04-19,"09:19:00.0000000",NA,NA,"Actual",46861401,11.5,"mg/l",11.5,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,2018-01-01,2018-06-15,6.5,5,4,1,2018-07-01,2018-09-30,0,NA,0
"379","OREGONDEQ","11479-ORDEQ","John Day River upstream of Dayville","River/Stream","Stockdale Creek-John Day River",2382,"OR_SR_1707020110_05_101552",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2017-04-27,"07:29:00.0000000",NA,NA,"Actual",46873128,11,"mg/l",11,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,2017-01-01,2017-06-15,6.5,5,4,1,2017-07-01,2017-09-30,0,NA,0
"380","OREGONDEQ","11479-ORDEQ","John Day River upstream of Dayville","River/Stream","Stockdale Creek-John Day River",2382,"OR_SR_1707020110_05_101552",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-08-15,"07:30:00.0000000",NA,NA,"Actual",45285732,6.9,"mg/l",6.9,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,2013-01-01,2013-06-15,6.5,5,4,0,2013-07-01,2013-09-30,1,NA,0
"381","OREGONDEQ","11386-ORDEQ","John Day River at Hwy 206","River/Stream","Esau Canyon-John Day River",521,"OR_SR_1707020410_05_101700",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2014-04-17,"10:46:00.0000000",NA,NA,"Actual",45272357,10.3,"mg/l",10.3,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",11,NA,NA,6.5,5,4,0,2014-07-01,2014-09-30,0,NA,0
"382","OREGONDEQ","11478-ORDEQ","John Day River at Service Creek","River/Stream","Service Creek-John Day River",1640,"OR_SR_1707020402_05_101644",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2016-08-18,"10:21:00.0000000",NA,NA,"Actual",46872517,7.5,"mg/l",7.5,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",11,NA,NA,6.5,5,4,0,2016-07-01,2016-09-30,1,NA,0
"383","OREGONDEQ","11020-ORDEQ","South Fork John Day River at Dayville","River/Stream","Smoky Creek-South Fork John Day River",2342,"OR_SR_1707020104_05_101527",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2017-08-17,"08:23:00.0000000",NA,NA,"Actual",46861632,8.8,"mg/l",8.8,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,2017-01-01,2017-06-15,6.5,5,4,0,2017-07-01,2017-09-30,1,NA,0
"384","OREGONDEQ","11479-ORDEQ","John Day River upstream of Dayville","River/Stream","Stockdale Creek-John Day River",2382,"OR_SR_1707020110_05_101552",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2012-10-11,"08:00:00.0000000",NA,NA,"Actual",47285970,10,"mg/l",10,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,2012-01-01,2012-06-15,6.5,5,4,0,2012-07-01,2012-09-30,0,NA,0
"385","OREGONDEQ","36787-ORDEQ","Rock Creek at mouth","River/Stream","French Charlie Canyon-Rock Creek",411,"OR_SR_1707020410_05_101701",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2012-06-17,"16:30:00.0000000",NA,NA,"Actual",46050192,9.6,"mg/l",9.6,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,2012-01-01,2012-05-15,6.5,5,4,0,2012-07-01,2012-09-30,0,NA,0
"386","OREGONDEQ","11478-ORDEQ","John Day River at Service Creek","River/Stream","Service Creek-John Day River",1640,"OR_SR_1707020402_05_101644",2,2,5,"John Day",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-02-14,"09:40:00.0000000",NA,NA,"Actual",45284397,13.2,"mg/l",13.2,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",11,NA,NA,6.5,5,4,0,2013-07-01,2013-09-30,0,NA,0
