AU_ID,Period,num_cats
OR_WS_170900110204_02_104526,Year round,1
OR_WS_170900110205_02_104527,Year round,1
OR_WS_170900110306_02_104533,Year round,1
OR_WS_170900110404_02_104537,Year round,1
OR_WS_170900110405_02_104538,Year round,2
OR_WS_170900110406_02_104539,Year round,2
OR_WS_170900110501_02_104540,Year round,1
OR_WS_170900110502_02_104541,Year round,1
OR_WS_170900110601_02_104543,Year round,1
OR_WS_170900120101_02_104550,Spawn,2
OR_WS_170900120101_02_104550,Year round,2
OR_WS_170900120103_02_104552,Spawn,1
OR_WS_170900120103_02_104552,Year round,2
OR_WS_170900120301_02_104557,Year round,1
OR_WS_171002010103_05_106209,Year round,1
OR_WS_171002020101_05_106443,Spawn,2
OR_WS_171002020101_05_106443,Year round,2
OR_WS_171002030101_05_106099,Spawn,1
OR_WS_171002030101_05_106099,Year round,2
OR_WS_171002030201_05_106100,Spawn,1
OR_WS_171002030201_05_106100,Year round,1
OR_WS_171002030206_05_106105,Spawn,1
OR_WS_171002030206_05_106105,Year round,1
OR_WS_171002030406_05_106217,Year round,1
OR_WS_171002030504_05_106117,Year round,1
OR_WS_171002030902_05_106219,Year round,1
OR_WS_171002040502_02_106182,Year round,1
OR_WS_171002040707_02_106179,Spawn,1
OR_WS_171002040707_02_106179,Year round,1
OR_WS_171002040708_02_106140,Year round,1
OR_WS_171002040803_02_106178,Year round,1
OR_WS_171002050202_02_106151,Spawn,2
OR_WS_171002050202_02_106151,Year round,2
OR_WS_171002050205_02_106154,Year round,1
OR_WS_171002050301_02_106155,Year round,1
OR_WS_171002050303_02_106176,Spawn,2
OR_WS_171002050303_02_106176,Year round,2
OR_WS_171002050403_02_106159,Spawn,1
OR_WS_171002050403_02_106159,Year round,1
OR_WS_171002050404_02_106175,Year round,1
OR_WS_171002050405_02_106174,Spawn,2
OR_WS_171002050405_02_106174,Year round,1
OR_WS_171002050501_02_106160,Year round,1
OR_WS_171002050602_00_106163,Spawn,1
OR_WS_171002050602_00_106163,Year round,1
OR_WS_171002050703_02_106165,Year round,1
OR_WS_171002060301_02_105629,Year round,1
OR_WS_171002060401_02_106166,Spawn,1
OR_WS_171002060401_02_106166,Year round,1
OR_WS_171002060501_02_106168,Year round,1
OR_WS_171002060601_02_106169,Year round,1
OR_WS_171002060803_02_106438,Spawn,1
OR_WS_171002060803_02_106438,Year round,1
OR_WS_171002060804_02_106406,Spawn,2
OR_WS_171002060804_02_106406,Year round,2
OR_WS_171002070101_02_106385,Year round,1
OR_WS_171002070102_02_106386,Year round,1
OR_WS_171002070104_02_106387,Year round,1
OR_WS_171003010204_02_105809,Year round,1
OR_WS_171003010302_02_105638,Year round,1
OR_WS_171003010304_02_105639,Year round,1
OR_WS_171003010404_02_105643,Year round,1
OR_WS_171003010504_02_105646,Year round,1
OR_WS_171003010701_02_105650,Spawn,1
OR_WS_171003010701_02_105650,Year round,1
OR_WS_171003010702_02_105651,Spawn,1
OR_WS_171003010702_02_105651,Year round,1
OR_WS_171003010706_02_105654,Spawn,1
OR_WS_171003010706_02_105654,Year round,1
OR_WS_171003010801_02_105655,Spawn,1
OR_WS_171003010801_02_105655,Year round,1
OR_WS_171003010804_02_105657,Spawn,1
OR_WS_171003010804_02_105657,Year round,1
OR_WS_171003010805_02_105658,Spawn,1
OR_WS_171003010805_02_105658,Year round,1
OR_WS_171003010807_02_105660,Spawn,1
OR_WS_171003010807_02_105660,Year round,1
OR_WS_171003010808_02_105661,Spawn,1
OR_WS_171003010808_02_105661,Year round,1
OR_WS_171003010902_02_105664,Year round,1
OR_WS_171003011001_02_105666,Year round,1
OR_WS_171003020101_02_105675,Spawn,1
OR_WS_171003020101_02_105675,Year round,1
OR_WS_171003020102_02_105676,Year round,1
OR_WS_171003020104_02_105678,Year round,2
OR_WS_171003020105_02_105679,Spawn,1
OR_WS_171003020105_02_105679,Year round,1
OR_WS_171003020205_02_105684,Year round,1
OR_WS_171003020303_02_105687,Year round,1
OR_WS_171003020401_02_105691,Spawn,1
OR_WS_171003020401_02_105691,Year round,1
OR_WS_171003020402_02_105692,Spawn,1
OR_WS_171003020402_02_105692,Year round,1
OR_WS_171003020404_02_105694,Spawn,2
OR_WS_171003020404_02_105694,Year round,2
OR_WS_171003020505_02_105697,Year round,2
OR_WS_171003020702_02_106348,Year round,1
OR_WS_171003021001_02_105703,Spawn,2
OR_WS_171003021001_02_105703,Year round,2
OR_WS_171003021305_02_105321,Year round,1
OR_WS_171003030208_02_105318,Year round,1
OR_WS_171003040204_02_106398,Year round,2
OR_WS_171003040401_02_105044,Year round,1
OR_WS_171003040402_02_105002,Year round,1
OR_WS_171003050101_02_105309,Year round,1
OR_WS_171003050306_02_106393,Year round,1
OR_WS_171003060102_02_104668,Year round,1
OR_WS_171003060104_02_106331,Year round,3
OR_WS_171003060105_02_106330,Year round,1
OR_WS_171003060403_02_104675,Year round,1
OR_WS_171003100803_02_104698,Year round,1
OR_WS_171003120111_02_104697,Spawn,2
OR_WS_171003120111_02_104697,Year round,2
OR_WS_171003120404_02_104696,Year round,1
OR_WS_171200010104_05_106513,Year round,1
OR_WS_171200010105_05_106514,Year round,1
OR_WS_171200010601_05_106529,Year round,1
OR_WS_171200020201_05_106550,Year round,1
OR_WS_171200020302_05_106555,Year round,1
OR_WS_171200020304_05_106557,Year round,1
OR_WS_171200020306_05_106559,Year round,1
OR_WS_171200020403_05_106565,Year round,1
OR_WS_171200020404_05_106566,Year round,1
OR_WS_171200020501_05_106567,Year round,1
OR_WS_171200020502_05_106568,Year round,2
OR_WS_171200020503_05_106569,Year round,1
OR_WS_171200020504_05_106570,Year round,1
OR_WS_171200020506_05_106572,Year round,1
OR_WS_171200030205_05_106597,Year round,1
OR_WS_171200040204_05_106612,Year round,1
OR_WS_171200040205_05_106613,Year round,1
OR_WS_171200040206_05_106614,Year round,1
OR_WS_171200050205_05_106931,Year round,1
OR_WS_171200050206_05_106661,Year round,2
OR_WS_171200051405_05_106713,Year round,1
OR_WS_171200060101_05_106739,Year round,3
OR_WS_171200060102_05_106740,Year round,2
OR_WS_171200060103_05_106741,Year round,1
OR_WS_171200060104_05_106742,Year round,2
OR_WS_171200060105_05_106743,Year round,1
OR_WS_171200060106_05_106744,Year round,2
OR_WS_171200060201_05_106745,Year round,1
OR_WS_171200060202_05_106746,Year round,1
OR_WS_171200060301_05_106747,Year round,1
OR_WS_171200060404_05_106752,Year round,2
OR_WS_171200070102_05_106764,Year round,1
OR_WS_171200070301_05_106769,Year round,2
OR_WS_171200070304_05_106772,Year round,2
OR_WS_171200070305_05_106773,Year round,2
OR_WS_171200070307_05_106775,Year round,1
OR_WS_171200070401_05_106779,Year round,2
OR_WS_180102010103_05_107012,Year round,1
OR_WS_180102010104_05_107013,Year round,1
OR_WS_180102010401_05_107026,Year round,2
OR_WS_180102010604_05_107038,Year round,1
OR_WS_180102020405_05_107058,Year round,2
OR_WS_180102020406_05_107059,Year round,1
OR_WS_180102030104_05_107091,Year round,1
OR_WS_180102030105_05_107092,Year round,1
OR_WS_180102030301_05_107096,Year round,2
OR_WS_180102030309_05_107104,Year round,1
OR_WS_180102040201_05_107168,Year round,1
OR_WS_180102041202_05_107133,Year round,1
OR_WS_180200010101_05_102678,Year round,1
OR_WS_180200010102_05_102679,Year round,1
OR_WS_180200010104_05_102681,Year round,1
OR_WS_180200010105_05_102682,Year round,1
OR_WS_180200010201_05_102683,Year round,1
OR_WS_180200010202_05_102684,Year round,1
OR_WS_180200010204_05_102686,Year round,1
OR_WS_180200010205_05_102687,Year round,1
OR_WS_180200010207_05_102689,Year round,1
OR_WS_180200010208_05_102690,Year round,1
OR_WS_180200010301_05_102693,Year round,1
OR_WS_180200010302_05_102694,Year round,1
