"MLocID","StationDes","Lat_DD","Long_DD","AU_ID","MonLocType","Period","OWRD_Basin","data_period_start","data_period_end","IR_category","total_violations","max_violations_3yr","max_3yr_results_in_crit_period","total_spawn_violations","max_spawn_violations_3yr"
"38676-ORDEQ","Kelley Cr above Clatsop Cr",45.47023099,-122.4950591,"OR_WS_170900120101_02_104550","River/Stream","Spawn","Willamette",2013-10-15,2013-10-22,"Cat2",NA,NA,NA,0,0
"38677-ORDEQ","Sunshine Cr W Fk at SE Borges Rd (Trib to Johnson Cr)",45.44954304,-122.42081402,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-06-18,2015-10-26,"Cat5",68,68,224,NA,NA
"38678-ORDEQ","Johnson Cr Trib at Mouth nr SE Stone Rd",45.46185483,-122.37261874,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-06-18,2013-10-16,"Cat5",78,78,92,NA,NA
"38680-ORDEQ","Wahoo Cr  blw SE Flavel St (Johnson Cr Trib)",45.46881654,-122.52828605,"OR_WS_170900120103_02_104552","River/Stream","Year round","Willamette",2013-07-09,2013-10-03,"Cat5",9,9,84,NA,NA
"38681-ORDEQ","Kelley Cr at SE 190th Dr",45.46589005,-122.46667715,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-06-19,2013-12-16,"Cat5",37,37,92,NA,NA
"38755-ORDEQ","Spring Creek u/s of Portland Waldorf School in Milwaukie",45.446234,-122.638242,"OR_WS_170900120103_02_104552","River/Stream","Year round","Willamette",2012-06-11,2012-11-05,"Cat2",0,0,92,NA,NA
"38756-ORDEQ","Badger Cr off Telford Rd West of SE 282nd Ave and Hwy 26 intersection",45.45224293,-122.3803696,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2014-06-09,2015-10-26,"Cat5",112,112,184,NA,NA
"38757-ORDEQ","East Fork Sunshine Cr Johnson Cr Trib at Sunshine Valley Rd nr SE 250th Pl",45.44316023,-122.40630529,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2014-06-09,2015-10-26,"Cat5",23,23,184,NA,NA
"38759-ORDEQ","Johnson Cr Trib Deardorff Cr at Mouth",45.47120612,-122.52521502,"OR_WS_170900120103_02_104552","River/Stream","Year round","Willamette",2012-06-28,2012-11-07,"Cat5",7,7,57,NA,NA
"39446-ORDEQ","Flat Cr US Junction City outfall (RM 9.5)",44.21830616,-123.2297883,"OR_WS_170900030603_02_104290","River/Stream","Year round","Willamette",2017-05-28,2017-11-13,"Cat5",4,4,0,NA,NA
