OBJECTID,AU_ID,AU_Name,AU_WBType,AU_UseCode,AU_LenMile,AU_AreaAcr,HUC12,AQWMS_NUM,AQWMS_TXT
6692,OR_WS_180102020102_05_107041,Long Creek,460,5,23.64832344,0,1.80102E+11,107041,107041
6693,OR_WS_180102020103_05_107042,Headwaters Sycan River,460,5,100.8376493,0,1.80102E+11,107042,107042
6694,OR_WS_180102020201_05_107043,Chocktoot Creek,460,5,61.32097338,0,1.80102E+11,107043,107043
6695,OR_WS_180102020202_05_107044,Coyote Creek,460,5,27.24719222,0,1.80102E+11,107044,107044
6696,OR_WS_180102020203_05_107045,Log Spring,460,5,34.99795187,0,1.80102E+11,107045,107045
6697,OR_WS_180102020204_05_107046,Calahan Creek-Long Creek,460,5,58.43895945,0,1.80102E+11,107046,107046
6698,OR_WS_180102020205_05_107047,Shake Creek,460,5,31.52840784,0,1.80102E+11,107047,107047
6699,OR_WS_180102020206_05_107048,Dry Creek,460,5,13.06760229,0,1.80102E+11,107048,107048
6700,OR_WS_180102020207_05_107049,Sycan Marsh-Sycan River,460,5,196.6564384,0,1.80102E+11,107049,107049
6701,OR_WS_180102020301_05_107050,Upper Fishhole Creek,460,5,27.99151682,0,1.80102E+11,107050,107050
6702,OR_WS_180102020302_05_107051,Middle Fishhole Creek,460,5,48.18904445,0,1.80102E+11,107051,107051
6703,OR_WS_180102020303_05_107052,Pole Creek,460,5,37.4577148,0,1.80102E+11,107052,107052
6704,OR_WS_180102020304_05_107053,Lower Fishhole Creek,460,5,38.64846742,0,1.80102E+11,107053,107053
6705,OR_WS_180102020401_05_107054,Whitworth Creek,460,5,41.59207268,0,1.80102E+11,107054,107054
6706,OR_WS_180102020402_05_107055,Upper South Fork Sprague River,460,5,41.73468108,0,1.80102E+11,107055,107055
6707,OR_WS_180102020403_05_107056,Brownsworth Creek,460,5,35.70186944,0,1.80102E+11,107056,107056
6708,OR_WS_180102020404_05_107057,Middle South Fork Sprague River,460,5,86.92278449,0,1.80102E+11,107057,107057
6709,OR_WS_180102020405_05_107058,Deming Creek,460,5,52.80524255,0,1.80102E+11,107058,107058
6710,OR_WS_180102020406_05_107059,Lower South Fork Sprague River,460,5,101.739155,0,1.80102E+11,107059,107059
6711,OR_WS_180102020501_05_107060,Upper North Fork Sprague River,460,5,85.31178899,0,1.80102E+11,107060,107060
6712,OR_WS_180102020502_05_107061,Cain Creek-Meryl Creek,460,5,41.24884793,0,1.80102E+11,107061,107061
6713,OR_WS_180102020503_05_107062,Long Creek-Meryl Creek,460,5,63.8620261,0,1.80102E+11,107062,107062
6714,OR_WS_180102020504_05_107063,Upper Fivemile Creek,460,5,38.9763101,0,1.80102E+11,107063,107063
6715,OR_WS_180102020505_05_107064,Huckleberry Draw,460,5,40.61604248,0,1.80102E+11,107064,107064
6716,OR_WS_180102020506_05_107065,Lower Fivemile Creek,460,5,30.62741414,0,1.80102E+11,107065,107065
6717,OR_WS_180102020507_05_107066,Lower North Fork Sprague River,460,5,66.57210363,0,1.80102E+11,107066,107066
6718,OR_WS_180102020601_05_107067,Merritt Creek,460,5,90.51852318,0,1.80102E+11,107067,107067
6719,OR_WS_180102020602_05_107068,Silver Dollar Flat,460,5,14.2662592,0,1.80102E+11,107068,107068
6720,OR_WS_180102020603_05_107069,Marsh Reservoir-Sycan River,460,5,93.14711081,0,1.80102E+11,107069,107069
6721,OR_WS_180102020604_05_107070,Blue Creek,460,5,19.09213819,0,1.80102E+11,107070,107070
6722,OR_WS_180102020605_05_107071,Snake River,460,5,35.28932588,0,1.80102E+11,107071,107071
6723,OR_WS_180102020606_05_107072,Chester Spring-Sycan River,460,5,48.93834992,0,1.80102E+11,107072,107072
6724,OR_WS_180102020701_05_107073,Brown Creek,460,5,64.23574092,0,1.80102E+11,107073,107073
6725,OR_WS_180102020702_05_107074,Flu Pond-Sprague River,460,5,68.07833496,0,1.80102E+11,107074,107074
6726,OR_WS_180102020703_05_107075,Tim Brown Spring,460,5,39.91252085,0,1.80102E+11,107075,107075
6727,OR_WS_180102020704_05_107076,Whiskey Creek,460,5,65.20497447,0,1.80102E+11,107076,107076
6728,OR_WS_180102020705_05_107077,Rock Creek,460,5,31.94644231,0,1.80102E+11,107077,107077
6729,OR_WS_180102020706_05_107078,Knot Tableland-Sprague River,460,5,55.7533936,0,1.80102E+11,107078,107078
6730,OR_WS_180102020707_05_107079,Chipps Spring,460,5,22.91944516,0,1.80102E+11,107079,107079
6731,OR_WS_180102020708_05_107080,Trout Creek,460,5,33.95711186,0,1.80102E+11,107080,107080
6732,OR_WS_180102020709_05_107081,Cherry Creek-Sprague River,460,5,62.48632386,0,1.80102E+11,107081,107081
6733,OR_WS_180102020710_05_107082,Cooks Canyon,460,5,37.35211569,0,1.80102E+11,107082,107082
6734,OR_WS_180102020711_05_107083,Long Prairie,460,5,36.42354237,0,1.80102E+11,107083,107083
6735,OR_WS_180102020712_05_107084,Copperfield Draw,460,5,36.67980035,0,1.80102E+11,107084,107084
6736,OR_WS_180102020713_05_107085,Kamkoan Spring-Sprague River,460,5,62.07697015,0,1.80102E+11,107085,107085
6737,OR_WS_180102020714_05_107086,Whitehorse Spring,460,5,20.66489168,0,1.80102E+11,107086,107086
6738,OR_WS_180102020715_05_107087,Crystal Castle Spring-Sprague River,460,5,22.30317288,0,1.80102E+11,107087,107087
6739,OR_WS_180102030101_05_107088,Upper Annie Creek,460,5,35.36257026,0,1.80102E+11,107088,107088
6740,OR_WS_180102030102_05_107089,Lower Annie Creek,460,5,42.87931115,0,1.80102E+11,107089,107089
6741,OR_WS_180102030103_05_107090,Dry Creek,460,5,9.220701581,0,1.80102E+11,107090,107090
6742,OR_WS_180102030104_05_107091,Sevenmile Creek,460,5,33.5039949,0,1.80102E+11,107091,107091
6743,OR_WS_180102030105_05_107092,Crooked Creek-Wood River,460,5,283.6560183,0,1.80102E+11,107092,107092
6744,OR_WS_180102030201_05_107093,Seldom Creek,460,5,43.6699923,0,1.80102E+11,107093,107093
6745,OR_WS_180102030202_05_107094,Upper Fourmile Creek,460,5,42.93249794,0,1.80102E+11,107094,107094
6746,OR_WS_180102030203_05_107095,Lower Fourmile Creek,460,5,34.55929029,0,1.80102E+11,107095,107095
6747,OR_WS_180102030301_05_107096,Threemile Creek,460,5,69.37830583,0,1.80102E+11,107096,107096
6748,OR_WS_180102030302_05_107097,Fourmile Creek,460,5,97.73157927,0,1.80102E+11,107097,107097
6749,OR_WS_180102030303_05_107098,Rock Creek-Frontal Upper Klamath Lake,460,5,24.54871509,0,1.80102E+11,107098,107098
6750,OR_WS_180102030304_05_107099,Moss Creek-Frontal Upper Klamath Lake,460,5,26.68131454,0,1.80102E+11,107099,107099
6751,OR_WS_180102030305_05_107100,Aspen Lake,460,5,72.10257513,0,1.80102E+11,107100,107100
6752,OR_WS_180102030306_05_107101,Long Lake Valley,460,5,79.80094242,0,1.80102E+11,107101,107101
6753,OR_WS_180102030307_05_107102,Eagle Ridge-Frontal Upper Klamath Lake,460,5,32.30599817,0,1.80102E+11,107102,107102
6754,OR_WS_180102030308_05_107103,King Cabin Canyon-Frontal Upper Klamath Lake,460,5,64.50713374,0,1.80102E+11,107103,107103
6755,OR_WS_180102030309_05_107104,Upper Klamath Lake,460,5,10.68283296,0,1.80102E+11,107104,107104
6756,OR_WS_180102040201_05_107168,Weed Valley-North Fork Willow Creek,460,5,37.76954122,0,1.80102E+11,107168,107168
6757,OR_WS_180102040202_05_107169,Wild Horse Creek,460,5,10.50762871,0,1.80102E+11,107169,107169
6758,OR_WS_180102040401_05_107170,Rock Creek,460,5,59.37456618,0,1.80102E+11,107170,107170
6759,OR_WS_180102040402_05_107105,Antelope Creek,460,5,131.719282,0,1.80102E+11,107105,107105
6760,OR_WS_180102040403_05_107172,East Branch Lost River,460,5,40.65608848,0,1.80102E+11,107172,107172
6761,OR_WS_180102040404_05_107171,Cape Horne-Lost River,460,5,3.200493253,0,1.80102E+11,107171,107171
6762,OR_WS_180102040501_05_107106,Barnes Valley Creek,460,5,75.06376566,0,1.80102E+11,107106,107106
6763,OR_WS_180102040502_05_107107,Pitch Log Creek,460,5,37.29344572,0,1.80102E+11,107107,107107
6764,OR_WS_180102040503_05_107108,Long Branch Creek,460,5,30.04512302,0,1.80102E+11,107108,107108
6765,OR_WS_180102040504_05_107109,Barnes Valley Creek-Gerber Reservoir,460,5,49.11737483,0,1.80102E+11,107109,107109
6766,OR_WS_180102040505_05_107110,Mallory Reservoir,460,5,57.56224686,0,1.80102E+11,107110,107110
6767,OR_WS_180102040506_05_107111,Summit Prairie,460,5,37.82014637,0,1.80102E+11,107111,107111
6768,OR_WS_180102040507_05_107112,Ben Hall Creek,460,5,90.63687311,0,1.80102E+11,107112,107112
6769,OR_WS_180102040508_05_107113,Gerber Reservoir,460,5,65.2810708,0,1.80102E+11,107113,107113
6770,OR_WS_180102040509_05_107183,Miller Creek,460,5,112.9616073,0,1.80102E+11,107183,107183
6771,OR_WS_180102040601_05_107114,Woolen Canyon-Lost River,460,5,130.5147214,0,1.80102E+11,107114,107114
6772,OR_WS_180102040602_05_107115,Rocky Canyon Creek,460,5,61.7705157,0,1.80102E+11,107115,107115
6773,OR_WS_180102040603_05_107116,Cys Branch-Lost River,460,5,190.003506,0,1.80102E+11,107116,107116
6774,OR_WS_180102040701_05_107117,Upper Buck Creek,460,5,23.73292875,0,1.80102E+11,107117,107117
6775,OR_WS_180102040702_05_107118,Middle Buck Creek,460,5,77.94434625,0,1.80102E+11,107118,107118
6776,OR_WS_180102040703_05_107119,Wildhorse Creek,460,5,34.09424393,0,1.80102E+11,107119,107119
6777,OR_WS_180102040704_05_107120,Lower Buck Creek-Lost River,460,5,66.16988689,0,1.80102E+11,107120,107120
6778,OR_WS_180102040705_05_107121,Alkali Lake-Lost River,460,5,50.5147143,0,1.80102E+11,107121,107121
6779,OR_WS_180102040706_05_107187,Poe Valley-Lost River,460,5,106.2006422,0,1.80102E+11,107187,107187
6780,OR_WS_180102040707_05_107186,The Gap-Lost River,460,5,51.3552001,0,1.80102E+11,107186,107186
6781,OR_WS_180102040801_05_107122,Whiteline Reservoir,460,5,57.39700853,0,1.80102E+11,107122,107122
6782,OR_WS_180102040802_05_107123,Grizzly Butte,460,5,32.81464258,0,1.80102E+11,107123,107123
6783,OR_WS_180102040803_05_107124,Brookside Creek-Frontal Swan Lake,460,5,31.65164493,0,1.80102E+11,107124,107124
6784,OR_WS_180102040804_05_107125,Swan Lake,460,5,39.22587346,0,1.80102E+11,107125,107125
6785,OR_WS_180102040901_05_107126,Nuss Lake-Lost River,460,5,52.02524154,0,1.80102E+11,107126,107126
6786,OR_WS_180102040902_05_107127,Stukel Mountains-Lost River,460,5,67.13939699,0,1.80102E+11,107127,107127
6787,OR_WS_180102040903_05_107128,Anderson Rose Diversion Dam-Lost River,460,5,97.32362419,0,1.80102E+11,107128,107128
6788,OR_WS_180102040904_05_107177,Tule Lake Valley-Lost River,460,5,105.983123,0,1.80102E+11,107177,107177
6789,OR_WS_180102040905_05_107129,Russell Canyon,460,5,10.15582645,0,1.80102E+11,107129,107129
6790,OR_WS_180102040906_05_107130,Mills Creek-Tule Lake Valley,460,5,88.28069065,0,1.80102E+11,107130,107130
6791,OR_WS_180102041108_05_107173,Mason Reservoir,460,5,2.725165133,0,1.80102E+11,107173,107173
