AU_ID,ben_use_code
OR_SR_1710031202_02_104653,2
OR_WS_170601060407_02_103539,2
OR_SR_1705020201_05_102800,5
OR_WS_170900070102_02_104403,2
OR_SR_1707020208_05_101603,5
OR_WS_170900010607_02_104209,2
OR_EB_1710020302_01_107216,1
OR_CL_1710020410_106250,3
OR_SR_1709001104_02_104155,2
OR_SR_1710031002_04_104794,4
OR_WS_171003100803_02_104698,1
OR_WS_171003100402_02_104873,2
OR_SR_1707030403_05_102575,5
OR_SR_1707030502_05_102581,5
OR_SR_1709000802_02_104035,2
OR_SR_1710030207_02_104748,2
OR_SR_1710030110_02_105364,2
OR_SR_1710030204_02_105393,2
OR_WS_170900010703_02_104213,2
OR_EB_1710020302_01_100295,1
OR_WS_170900100502_02_104513,2
OR_LK_1707010504_88_100137,88
OR_WS_171003040204_02_106398,2
OR_WS_170502030903_05_103201,5
OR_WS_170701050301_02_101984,2
OR_WS_170702020708_05_102128,5
OR_SR_1709000404_02_104575,2
OR_WS_170900030504_02_104278,2
OR_WS_171003100601_02_106319,2
OR_SR_1710030904_02_105618,2
OR_WS_170703051003_05_102496,5
OR_WS_170501161103_05_103021,5
OR_SR_1709001002_02_104105,2
OR_SR_1709000506_02_103927,2
OR_WS_170702010501_05_102038,5
OR_WS_170502010604_05_103105,5
OR_WS_170703040304_05_102427,5
OR_SR_1708000309_04_100666,4
OR_WS_171002020106_05_106445,5
OR_SR_1708000305_05_103619,5
OR_EB_1710030403_01_100285,1
OR_SR_1710020306_05_105929,5
OR_WS_170703010910_05_102626,5
OR_WS_171002030504_05_106117,5
OR_SR_1710030212_02_105098,2
OR_WS_171002050404_02_106175,2
OR_SR_1709000304_02_103821,2
OR_SR_1710030302_05_105126,5
OR_SR_1709000903_02_104074,2
OR_LK_1707010312_02_100011,2
OR_SR_1710020206_05_105864,5
OR_SR_1706010204_02_103295,2
OR_WS_170900070404_02_104421,2
OR_WS_171003120301_02_104688,2
OR_WS_170601040206_02_103436,2
OR_WS_171003110801_02_104896,2
OR_CL_1710020310_106238,3
OR_SR_1710020503_02_106212,2
OR_SR_1710030301_02_106418,2
OR_LK_1707010114_88_100141,88
OR_WS_171002030406_05_106217,5
OR_WS_171002030901_05_106190,5
OR_WS_171200060301_05_106747,5
OR_SR_1709000306_02_103838,2
OR_EB_1710020403_01_107232,1
OR_CL_1710020410_106252,1
OR_SR_1709000107_02_103727,2
OR_WS_170502031001_05_103204,5
OR_SR_1710020604_02_106062,2
OR_SR_1710030107_02_105336,2
OR_WS_170502030901_05_103199,5
OR_SR_1708000309_04_100662,4
OR_SR_1709001003_02_104114,2
OR_SR_1709000203_02_103782,2
OR_SR_1709000110_02_103749,2
OR_CL_1710020102_106279,5
OR_WS_170900090108_02_104461,2
OR_WS_171003060202_02_104671,2
OR_SR_1707010305_02_101480,99
OR_SR_1710030501_02_104962,2
OR_WS_171003060203_02_104700,2
OR_WS_171002040903_02_106177,2
OR_SR_1705020205_05_102805,5
OR_SR_1710020304_05_105897,5
OR_CL_1710020410_106247,3
OR_WS_170703010207_05_102281,5
OR_EB_1710020506_01_107230,1
OR_CL_1710020508_105033,3
OR_SR_1707010302_02_101478,2
OR_WS_170900030603_02_104290,2
OR_SR_1710020606_02_106078,2
OR_WS_170502010106_05_103227,5
OR_SR_1707030610_05_101824,5
OR_SR_1710030502_02_104973,2
OR_SR_1710020409_02_106000,2
OR_WS_170601040104_02_103425,2
OR_SR_1707010310_02_101488,2
OR_WS_171200050203_05_106659,5
OR_SR_1709000904_02_104086,2
OR_SR_1710030301_02_106418,5
OR_SR_1705011601_05_102746,5
OR_WS_170703060901_05_102522,5
OR_WS_170900100404_02_104509,2
OR_SR_1709000703_04_104013,4
OR_SR_1707020203_05_101576,5
OR_SR_1709000703_02_104008,2
OR_SR_1706010411_02_103339,2
OR_WS_171200030205_05_106597,5
OR_WS_170900070101_02_104401,2
OR_WS_170502030602_05_103182,5
OR_EB_1710031008_01_100280,1
OR_WS_170601041101_02_103478,2
OR_SR_1705020206_05_102808,5
OR_SR_1709000603_02_103957,2
OR_WS_170502010608_05_103109,5
OR_WS_170900010505_02_104202,2
OR_WS_170900030507_02_104281,2
OR_SR_1801020409_05_107184,5
OR_WS_170703040701_05_102443,5
OR_SR_1710030601_02_104618,2
OR_WS_171200070301_05_106769,5
OR_SR_1710020502_02_106020,2
OR_SR_1710030802_04_105816,4
OR_SR_1709000306_02_103851,2
OR_EB_1710020403_01_107231,1
OR_WS_170900100204_02_104495,NULL
OR_WS_170800030503_05_103660,5
OR_SR_1709000201_02_103752,2
OR_WS_170502030503_05_103178,5
OR_WS_171200020404_05_106566,5
OR_SR_1707010207_05_101461,16
OR_WS_170900030606_02_104294,2
OR_SR_1706010402_02_103314,2
OR_EB_1710020410_01_100313,1
OR_SR_1710020701_02_106374,2
OR_SR_1709000402_02_104588,2
OR_EB_1710020407_01_107218,1
OR_WS_170601041104_02_103481,2
OR_WS_170502010605_05_103106,5
OR_SR_1709000403_02_104589,2
OR_WS_170501161302_05_103029,5
OR_WS_180102030102_05_107089,5
OR_SR_1709000302_02_103812,2
OR_WS_170601040507_02_103455,2
OR_SR_1707030405_05_101770,5
OR_SR_1709000306_02_103842,2
OR_SR_1709000404_02_104574,2
OR_WS_170701050501_02_101996,2
OR_WS_170900110103_02_104518,2
OR_WS_171002060402_02_106167,2
OR_WS_170900080204_02_104429,2
OR_WS_170900040104_02_104303,2
OR_SR_1710020201_05_106441,5
OR_SR_1710020408_02_105994,2
OR_SR_1710030804_04_106341,4
OR_WS_170703020105_05_102337,5
OR_WS_170900120201_02_104554,2
OR_SR_1707010306_02_101481,2
OR_WS_171003010801_02_105655,2
OR_SR_1709000306_05_103854,2
OR_WS_170900070303_02_104415,2
OR_WS_171002050501_02_106160,2
OR_CL_1710030405_105049,3
OR_SR_1710030602_02_104623,2
OR_WS_171003080105_02_105763,2
OR_WS_170502030204_05_103160,5
OR_SR_1709000505_02_103921,2
OR_WS_170601040103_02_103424,2
OR_WS_170701050404_02_101993,2
OR_WS_170501150203_05_102968,5
OR_WS_171003060103_02_104669,2
OR_WS_170900010102_02_104186,2
